¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967166
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.329185
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727008
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166171
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653386
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19697
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80705
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49664
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28217
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18508
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22115
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97749
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76934
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64209
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62828
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23015
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.535826
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.718747
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.915082
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126324
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797429
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055252
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334488
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637924
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.968806
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330965
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72899
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168344
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655825
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19967
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81011
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50011
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28616
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15661
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17123
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93013
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71674
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57487
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55282
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24669
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.535917
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.718843
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.915184
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126435
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798671
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056596
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33596
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639521
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970565
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332888
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731061
õ(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170671
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658399
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20253
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81334
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50379
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28318
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11725
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10967
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88418
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66576
(414.50, 7.59, 368.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50962
