¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.509612
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08694
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73472
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4705
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31053
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3055
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.5271
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98536
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.64064
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53834
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.62737
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.07851
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583963
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843877
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126259
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.433067
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.768637
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138796
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.54732
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.000552
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.506472
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0839
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73308
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46792
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30764
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30299
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.52474
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97791
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.6282
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.52534
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.62042
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.08364
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582324
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842097
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124322
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.430816
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.766175
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136085
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.544318
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.997211
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.503795
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0806
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73104
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46499
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30436
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29989
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.52163
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96965
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.61517
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.51192
(419.19, 14.51, 317.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.61331
