¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47626
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79167
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35449
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24139
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56447
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774974
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850361
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.889822
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171002
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.490912
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.841924
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.209339
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.582458
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.995269
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.451284
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.950652
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4626
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94974
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66446
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56705
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52667
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48864
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80632
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37197
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2627
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59098
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769296
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91599
(326.84, 7.24, 385.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.941491
