¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.06694
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.05814
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.05145
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.04686
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.04437
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505291
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.731258
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974632
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237315
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521769
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830681
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167317
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.535551
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.939954
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386076
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.88058
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44136
