¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546743
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637063
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.730906
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828505
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.38487
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.38377
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.38422
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.38622
(420.66, 14.16, 322.04) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 10.84541
(420.66, 14.16, 322.04) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 10.85248
(420.66, 14.16, 322.04) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 10.86118
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.336975
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.378139
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.420751
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.464875
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.510541
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.557817
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.606779
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.657439
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.709895
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764181
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.824721
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.887774
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95311
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020813
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.091003
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163747
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.239231
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.317531
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398777
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483154
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570739
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66173
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756307
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85464
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.27968
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.27854
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.27893
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.28086
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.28432
(420.66, 14.16, 322.04) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 10.9003
(420.66, 14.16, 322.04) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 10.90908
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.342033
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.383276
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.426026
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.470261
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516047
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.563406
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.6125
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.666298
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723473
ß(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.782673
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844008
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.907515
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973335
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041517
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112282
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185585
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261642
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340545
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422457
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507463
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595729
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687481
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782835
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88197
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.26843
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.17691
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.17725
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.17911
(420.66, 14.16, 322.04) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 10.37353
(420.66, 14.16, 322.04) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 12.78712
(420.66, 14.16, 322.04) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 12.79745
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.347628
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.389026
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.431845
(420.66, 14.16, 322.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.476208
