¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70073
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53824
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52034
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30577
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29577
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.76479
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.56817
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.46433
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.4144
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.43885
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.5179
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.65883
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.92137
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 18.97242
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 18.97504
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 18.98049
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 18.98878
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670578
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913104
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.175018
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455313
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759288
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090402
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452321
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.849515
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298158
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812181
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38798
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00713
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69488
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51657
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48722
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22668
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20755
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.55862
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.38117
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.35495
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.34234
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.33203
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.34698
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.4876
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.74708
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 19.06727
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 19.07272
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 19.08101
(406.18, 14.31, 246.22) (441.14, 9.01, 239.46) (2.48, 2.64, 2.46) Tools 19.09217
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670698
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913226
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.173084
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45293
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756702
Ş(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087556
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44924
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.846138
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.296538
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810387
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38598
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00188
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68893
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49475
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44784
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15064
(406.18, 14.31, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12089
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 15.59441
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 16.99512
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 17.17028
(406.18, 14.31, 246.22) (438.32, 8.60, 240.59) (3.14, 1.85, 2.76) Tools 17.24419
