¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66188
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85749
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04194
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23405
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42722
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50792
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59154
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67817
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76798
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86161
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96028
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06249
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16824
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27773
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39107
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50841
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62986
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75559
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88355
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061339
(333.61, 6.86, 314.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282797
