¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077434
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347047
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639141
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953683
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.971762
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.949855
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.929246
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.909923
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.891868
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.875069
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.859511
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.845183
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.832074
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.820175
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.809474
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.799965
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.791644
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.784498
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.669817
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88795
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25887
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65112
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06653
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55635
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0952
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67306
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29417
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174975
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379699
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595078
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826591
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075962
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345448
(384.73, 13.88, 255.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637439
(384.73, 13.88, 255.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.827172
