¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771935
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468179
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32814
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36235
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.42704
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.70409
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.06048
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.74456
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.89092
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.71952
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.61621
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161517
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339442
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529256
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732151
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949472
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182707
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.433642
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.704327
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.888732
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 8.133293
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728659
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452488
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3094
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33964
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45266
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.68614
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.03846
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.71692
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.85518
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.67154
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.776404
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.764277
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140572
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.317184
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505524
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706821
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92234
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153626
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402413
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.538544
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.722687
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.956343
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715054
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436531
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29037
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31653
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40397
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.73362
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.01661
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.68949
à(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.657567
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.647826
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.517832
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.511214
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.627646
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120114
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.295391
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482306
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68204
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895822
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125208
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371819
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.563216
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.633443
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.787642
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 8.026338
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420307
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27104
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27929
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35552
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.90943
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.99492
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.66228
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.78459
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.681746
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.551176
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.544528
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.661476
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.104369
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279601
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466463
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666174
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879965
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109361
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356077
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622065
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.660016
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.733677
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.854943
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436863
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29379
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27339
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35092
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.09274
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.9734
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.63528
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.74974
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.53018
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.586301
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.579624
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.79478
é(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.77908
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.76745
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.75988
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.75636
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.75689
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.115157
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291067
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478694
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.679219
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893912
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124311
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372161
(403.17, 14.19, 244.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639396
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.687963
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.762259
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.839549
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.878043
(403.17, 14.19, 244.48) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 7.857069
