¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.969129
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.197034
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444308
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713526
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007643
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330198
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685443
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.773886
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.746245
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.720301
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.696025
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.673392
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.65238
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.632968
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.77741
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.75343
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.73165
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.71204
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.69458
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.67925
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.66605
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.65496
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64596
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63905
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63422
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63146
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63078
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.63217
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.966612
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194276
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441309
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710259
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004066
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326291
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681096
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.861863
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.833903
(441.57, 14.22, 271.79) (430.03, 7.20, 289.32) (1.42, 0.85, 0.98) Fence 7.807658
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655387
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26325
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88799
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41645
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95439
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54812
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18089
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88312
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41825
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84949
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31037
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72798
(441.57, 14.22, 271.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93661
