¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.855856
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.853679
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.85206
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.850999
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.850494
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.850545
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.851152
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.852315
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.854037
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.856317
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.859158
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.043643
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.017194
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.994999
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.980062
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.965849
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.952344
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.939531
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.928385
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.920368
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.912962
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.906158
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.89995
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.894331
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.889297
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.884842
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.88096
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.87765
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.874907
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.872729
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.871113
