¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48075
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23753
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.86034
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44135
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79165
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.29926
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.14515
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.22312
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442929
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668296
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911371
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174305
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459566
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744017
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035288
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350979
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69432
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068909
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480116
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87037
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29619
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76264
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30973
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88169
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50427
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28709
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58876
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53426
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.93143
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45074
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.30945
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52943
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436322
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661188
(325.67, 6.99, 333.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903758
