¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.202683
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.194984
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.188508
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.183249
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.179203
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.176364
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.740959
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.853742
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.854478
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.856357
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.859378
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.863546
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.868867
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.875342
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.88298
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.660365
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861001
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077619
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312156
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566814
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844316
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.367507
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.335295
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.304631
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.285196
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.269411
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.254919
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.000834
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.991995
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.984351
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.977887
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.9726
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.968486
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.193391
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.654128
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.653543
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.654059
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.655678
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.658401
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.662233
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.667175
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.673231
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.680409
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.665166
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.866176
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0832
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318176
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573388
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851442
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.414911
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.275394
 (378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.204451
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.176095
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.149191
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.123709
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.956313
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.934186
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.913373
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.89385
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.875596
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.473034
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.470158
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.468349
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.467609
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.467935
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.469326
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.471785
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.475315
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.479918
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.485599
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.492362
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.670077
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.871459
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.088915
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324377
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580124
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858809
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.465575
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.324049
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.243662
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.215076
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.187952
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.16226
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.992727
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.970421
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.949434
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.929747
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.304219
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.300236
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.297294
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.295387
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.29451
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.294668
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.295859
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.298082
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.301341
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.30564
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.310981
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.317371
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.675091
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.876882
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094766
 (378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330717
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587031
(378.70, 15.69, 282.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866339
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.518761
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.375114
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.284632
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.255805
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.22845
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.202536
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.030793
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.008296
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.987127
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.147996
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.142982
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.138979
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.135984
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.133992
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.133001
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.13301
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.134023
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.136036
(378.70, 15.69, 282.80) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 5.139054
