¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.02114
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.50387
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.767519
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054845
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369177
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714389
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095162
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.517267
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984774
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.502151
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984021
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51794
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13422
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78751
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.7137
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.69168
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.67184
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.65413
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.63856
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.6251
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.61374
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.60447
