¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456987
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687256
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.935885
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205244
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.502838
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880393
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284306
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733685
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236513
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877081
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37333
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72364
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09801
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58837
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37273
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62279
(327.22, 7.10, 329.48) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 19.87359
(327.22, 7.10, 329.48) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 19.84772
(327.22, 7.10, 329.48) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 19.82578
(327.22, 7.10, 329.48) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 19.80774
(327.22, 7.10, 329.48) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 19.7936
(327.22, 7.10, 329.48) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 19.78333
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362019
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.513807
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.675557
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848313
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033082
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231148
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444024
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.673276
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920801
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.190836
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484006
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837208
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236522
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680438
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176846
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.845377
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40922
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7156
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08844
(327.22, 7.10, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57355
