¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.93072
(378.99, 15.99, 289.82) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 11.99308
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.54145
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.51216
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.50876
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.46105
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.45029
(378.99, 15.99, 289.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 14.68622
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010839
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328681
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671285
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048552
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466575
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93224
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454073
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.808344
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.774881
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.26466
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.5718
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.5422
(378.99, 15.99, 289.82) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 12.12867
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.65855
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.56621
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.53916
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.47003
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.44331
(378.99, 15.99, 289.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 14.7153
