¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(387.47, 13.92, 251.19) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 14.1271
(387.47, 13.92, 251.19) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 14.10762
(387.47, 13.92, 251.19) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 14.09094
(387.47, 13.92, 251.19) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 14.07703
(387.47, 13.92, 251.19) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 16.53696
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.42917
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.42258
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.4192
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.44785
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.48554
(387.47, 13.92, 251.19) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 16.52663
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.903281
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142224
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402627
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149202
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484591
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854585
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264765
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712008
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227127
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813198
(387.47, 13.92, 251.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47139
