¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994747
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.310416
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657505
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008901
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370907
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768937
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208644
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696749
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22357
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.424928
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.404952
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.250941
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.183234
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.118197
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 8.055746
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.995794
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.938263
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.88308
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.830177
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.779485
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.730943
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.684491
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.640073
(337.40, 7.40, 334.96) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 7.644224
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.971395
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195389
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438132
(337.40, 7.40, 334.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702024
