¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(380.05, 14.17, 265.67) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 16.39312
(380.05, 14.17, 265.67) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 16.40175
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.403072
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601992
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817297
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051039
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.302825
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576329
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352739
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720648
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124535
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566086
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05637
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.598194
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24328
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99479
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81234
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78138
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93509
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3254
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 16.09407
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 16.09029
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 16.08965
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 16.09215
(380.05, 14.17, 265.67) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 16.18625
(380.05, 14.17, 265.67) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 16.19456
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.39943
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.598058
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813034
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046406
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.298546
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.571651
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346653
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713954
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114832
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555266
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048109
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.589136
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23112
