¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.837065
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.727522
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.702294
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.678721
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.656781
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.066659
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.05468
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.03267
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.05254
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 9.795183
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 9.77477
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 9.756337
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.05498
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.03838
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37327
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87895
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97381
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.20124
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447988
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710013
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994849
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306399
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.64856
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025991
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.882222
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.768587
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.743216
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.71951
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.697446
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.107609
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.06898
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.4564
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 11.37953
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.24478
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.08431
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.0651
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.34885
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.33169
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26968
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79897
(401.17, 14.20, 244.00) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 24.40539
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979767
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207713
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455008
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720324
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006104
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.318732
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662118
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041014
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.929618
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.811625
ñ(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.786105
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.76226
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.740065
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.745228
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.0853
(401.17, 14.20, 244.00) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 10.16782
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.322312
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.303831
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.28723
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.39615
