¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06818
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.0004
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.08322
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82485
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.84452
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.844071
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.097493
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.36236
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.634859
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.941257
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28758
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635984
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.065739
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.490387
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978892
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.510073
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12791
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80175
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54124
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35547
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01822
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12859
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34854
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50147
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16544
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46438
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77702
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43604
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41122
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25788
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.01599
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.17533
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.825646
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073236
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.33865
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.608962
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.907826
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255781
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.600943
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.01252
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.444785
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915111
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.450275
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05624
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72005
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45499
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25336
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90736
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98748
(432.55, 12.05, 347.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19239
