¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.49469
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.48016
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.47
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.46418
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.46471
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.59974
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.553983
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.768217
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000859
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252115
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.519562
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.812301
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137441
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476492
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.841421
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254895
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.865256
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.537302
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69439
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19314
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7431
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55624
