¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.62924
(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.61209
(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.59763
(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.58585
(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.63433
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020402
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242371
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482614
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743462
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027632
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3383
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679266
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055047
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466922
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924326
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468793
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08612
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79177
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52255
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30387
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20159
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24364
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51456
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04333
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01249
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.78817
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.74353
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.7875
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028876
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251492
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492504
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754241
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039363
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35115
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693389
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070681
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475295
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.916962
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460468
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07663
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78092
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49359
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27655
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1701
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20692
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45962
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97692
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91912
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.82108
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.87075
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.92456
¾(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033246
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260747
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502534
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765132
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051283
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364173
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707692
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08651
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483935
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.9118
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452318
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06735
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76541
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46432
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24995
