¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.925999
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.913786
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.90296
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.89351
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.885426
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.878698
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.873325
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.869298
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.866612
(401.44, 14.17, 246.12) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.27887
(401.44, 14.17, 246.12) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.2795
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110873
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351525
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602492
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819994
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033799
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262862
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.050482
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.022337
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.995772
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.970762
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.947279
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.925301
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.904802
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.885762
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.868163
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.851985
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.837214
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.823834
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.811832
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.801194
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.791913
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.783977
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.777379
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.772114
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.768175
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.765559
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.12539
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 10.125
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10738
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34773
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601409
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800129
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012562
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.978299
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.948999
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.921289
