¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25964
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.555408
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.878777
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234924
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.634661
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.096378
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.62516
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.214324
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.892143
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66406
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55269
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60491
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88164
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48704
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43187
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.53171
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.4508
(417.86, 14.84, 246.84) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 23.73264
(417.86, 14.84, 246.84) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 23.71248
(417.86, 14.84, 246.84) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 23.69698
(417.86, 14.84, 246.84) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 23.68611
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.751935
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.916845
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.094643
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.287583
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.498969
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.728983
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977869
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.250636
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.544869
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867023
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.221886
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.620484
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.080809
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607793
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.193878
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.869021
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6373
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52241
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56887
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.81548
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42493
(417.86, 14.84, 246.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3542
