¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.03896
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.38756
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.55243
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.38113
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140227
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.385581
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.652668
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944534
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264668
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617267
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007506
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44089
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909756
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43576
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02982
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70058
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47453
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38661
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30542
(417.27, 14.52, 251.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24516
