¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056638
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.953861
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.927546
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.902768
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.881797
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.887897
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.895367
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.183955
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.733484
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.375813
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49155
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60232
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.21013
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.18548
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.16405
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.14582
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.13078
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.1189
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.11018
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.1046
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.10217
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.10288
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.10672
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.11372
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074965
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312127
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541946
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787414
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053393
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.871878
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.845862
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.821369
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.798371
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.776843
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.756764
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.187445
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.737538
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.38058
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.142136
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81802
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.92248
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.89823
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.87714
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.8592
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.84438
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.83267
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.82407
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.81855
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.81612
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.81678
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.82052
÷(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.82735
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080903
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309187
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535874
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780857
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.820367
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.793111
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.767386
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.743164
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.720422
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.699133
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.714628
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.19093
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 7.741586
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.385342
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.147816
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04039
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.656
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.63212
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.61135
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.59367
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.57906
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.56751
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55901
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55355
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55112
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55173
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.55537
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.56205
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086841
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303739
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529997
(434.35, 14.03, 298.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774481
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.74438
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.717421
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.691974
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.668015
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.645519
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.62446
(434.35, 14.03, 298.77) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 6.717651
