¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.591244
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.021313
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504899
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.077086
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.706456
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42115
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2456
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2162
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37893
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80207
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.54372
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.75095
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.64618
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.356871
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.557045
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.776379
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.014961
(351.56, 7.15, 358.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265481
