¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.251857
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745525
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51559
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07189
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19416
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35483
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378904
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630369
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903894
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.202427
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529455
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84691
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14327
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473375
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.842732
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.247705
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748054
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51223
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97742
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48796
(435.90, 14.22, 301.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89847
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150828
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561471
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046036
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598721
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191988
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.800911
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48612
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24979
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9846
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89533
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90056
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98155
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81907
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.88033
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5654
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157514
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572404
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05846
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612999
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214918
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.816289
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50385
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28667
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02661
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96429
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00652
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.09986
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95716
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03833
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.00438
”(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163734
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582723
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070194
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625688
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227959
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.831144
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52094
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32353
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06862
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03328
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11317
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22303
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.09638
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.42755
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55431
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169452
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592359
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.081185
(435.82, 14.20, 301.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633
