¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601202
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.99797
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.440178
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.931738
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.490053
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10221
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80123
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59551
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53339
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6658
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01969
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68414
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75715
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38031
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05976
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.25284
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501158
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771451
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930329
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972383
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.244659
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.606633
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.004007
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446846
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.939696
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.499068
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10898
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80814
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60428
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54738
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68467
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03141
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6988
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78138
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42435
(425.10, 14.72, 251.33) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 23.29817
(425.10, 14.72, 251.33) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 23.08246
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.25754
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506307
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777039
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072698
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.075375
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.250766
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.612123
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.010108
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.452463
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.947742
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.505365
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11601
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81448
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61351
æ(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56161
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70382
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04356
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7268
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81639
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46939
(425.10, 14.72, 251.33) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 23.21005
(425.10, 14.72, 251.33) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 23.13599
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262253
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511431
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782619
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07881
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224468
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28733
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617669
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016271
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.458478
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.955872
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.510166
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12321
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82104
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62297
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57607
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72326
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.05613
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75541
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85217
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.51552
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.06211
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.266983
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.516582
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788228
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084376
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.397291
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.397173
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.62327
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.022498
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.465781
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.964085
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.515125
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13057
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82782
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63267
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59345
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74299
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.06911
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78462
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88877
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56264
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.50248
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.271738
Û(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521727
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793841
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089745
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405175
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.536912
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.628927
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.028786
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.473158
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972384
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.521386
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13809
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83553
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64303
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61241
(425.10, 14.72, 251.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76299
