¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.692207
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.685325
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.679948
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.676077
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.68882
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.737848
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.85005
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329931
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614596
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92819
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274489
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.658801
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.087644
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 8.052405
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.898173
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.832966
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.80511
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.784143
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.764781
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.747034
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.730883
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.716283
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.70324
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.691737
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.68177
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.673313
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.666364
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.660925
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.657001
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.669056
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.714979
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.815286
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330699
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615452
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929133
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275532
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.659963
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088944
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 8.089153
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.913978
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.845751
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.817194
