¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6354
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.115701
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.238622
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.370009
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.510705
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.661675
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.824129
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.999305
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.188718
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.394097
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.617625
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867043
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144365
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463367
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833517
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162646
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526633
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931207
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383799
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936666
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569591
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72185
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72148
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68058
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1988
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75815
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3635
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71446
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98849
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.10652
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.228852
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.359589
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.499517
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.649736
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.81126
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.985424
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.173716
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.377882
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.603016
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.854225
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130241
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.440554
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834021
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1966
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.564165
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97298
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.430759
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990108
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.631003
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43865
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00548
·(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86674
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39854
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97297
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63374
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08666
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37317
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.097567
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.219352
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.349402
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.488645
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.638037
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.798688
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.9719
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.159081
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.363084
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.59166
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841781
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116608
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419826
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808805
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231467
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602829
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016023
(382.76, 10.90, 322.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479058
