¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.256097
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447896
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655365
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.880455
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559797
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846372
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160572
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506554
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.889287
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314849
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790719
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.326304
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933493
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62742
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36108
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0818
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.929085
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.901367
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.868286
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.794215
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.735223
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.678814
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.624919
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.573478
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.524429
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.47772
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.433296
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.39111
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245276
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.436213
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.642716
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866719
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543751
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828837
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141342
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485328
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865755
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288606
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76134
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.293177
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.895764
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57508
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25826
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00446
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.880418
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.852892
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.853982
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.880845
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.820902
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.763571
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.70879
—(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.656491
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.606616
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.559107
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.513911
(338.62, 7.56, 336.76) (328.57, 1.91, 308.39) (7.08, 3.01, 7.98) Truck 9.470979
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.234577
(338.62, 7.56, 336.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.424664
