¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815055
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191917
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607755
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.016777
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.458147
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.938982
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50506
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98879
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51962
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17211
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19391
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52309
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1353
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12103
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13063
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60316
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.08081
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.6661
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928716
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11533
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303131
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290644
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398918
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640131
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901638
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.186765
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.491068
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821846
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192573
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.629025
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.040181
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.486585
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.97046
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53199
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04418
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58062
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19287
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19165
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47945
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08785
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75286
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18217
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65354
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13325
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.68093
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.932025
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120625
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190314
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223214
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402024
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643487
¤(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.905279
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.190454
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497658
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.829053
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.193544
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.644951
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.064344
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.515942
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00296
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55991
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10139
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64363
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24408
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65551
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38603
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04313
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70408
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09925
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.67434
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19066
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.70068
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.933793
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.105686
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.090326
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181828
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405382
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.647119
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909218
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.194456
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.504632
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.836681
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.20115
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.646389
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.089273
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.546226
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03651
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58884
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16043
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70871
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31617
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58644
(338.05, 7.66, 337.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3027
