¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75327
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05272
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45823
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00824
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.82336
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.80941
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.8476
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.89873
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0375
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799137
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.385033
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699141
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.830729
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967951
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11103
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26027
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41609
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58796
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77428
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53035
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6751
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24559
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.79202
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.76264
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.74986
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.75352
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.73943
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.75891
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.96439
(379.81, 14.70, 269.16) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0341
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823299
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416749
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.728919
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.861504
(379.81, 14.70, 269.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999658
