¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.08045
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.298527
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.534151
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.789464
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066958
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372046
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.707283
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.073229
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.481395
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.944072
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.469006
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06591
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7399
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51668
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42991
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50501
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85408
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.55867
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.86683
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.84188
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.062229
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.278902
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512933
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766452
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041926
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344119
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.676645
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.03995
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.442157
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.900307
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.417912
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00802
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67443
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43993
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34721
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39454
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.71218
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.38129
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63335
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.51285
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044004
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259515
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491976
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743733
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017218
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.31655
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.646411
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007138
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.403453
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.857157
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.367545
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.951005
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36446
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25902
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29085
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57549
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.20794
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.39482
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.19357
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025992
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240365
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.471281
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.721304
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.992831
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28934
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.616583
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.974789
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.367085
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814617
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.317904
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.894844
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5466
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29025
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17033
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18906
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.45038
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03849
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.16236
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.88367
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008195
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221453
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450849
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699164
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.96877
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.262488
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.587156
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.942903
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.331869
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.772685
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.269916
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.839537
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48422
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21775
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0832
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.08915
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3278
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.87284
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.93579
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.14302
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99061
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.202778
°(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430679
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677317
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945029
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.236569
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.558131
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911477
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.297176
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.731359
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.223643
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.785075
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42286
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14736
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99761
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99108
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20771
(419.25, 13.70, 325.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71228
