¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.05135
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.05135
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.05428
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.06015
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283411
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511876
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758938
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026926
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.318521
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636913
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985907
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.36999
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784499
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242674
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.727516
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26817
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87469
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43555
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03681
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81041
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85917
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.36226
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.34126
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.3233
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.30837
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.29644
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.28751
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.28157
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.27861
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.27863
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.28163
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.28761
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275775
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503631
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750031
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017227
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307955
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62535
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973214
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354782
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76664
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.223123
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713688
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25269
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85295
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39073
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98708
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7174
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82418
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.60069
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.57939
¿(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.56118
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.54604
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.53395
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.52491
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.5189
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.51592
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.51596
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.51903
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.52513
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268229
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49548
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741205
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007658
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297555
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613974
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960732
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.338919
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749126
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203611
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700212
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23765
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81349
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34716
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93871
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6266
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78855
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00726
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.82817
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.80969
