¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.21059
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.08352
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 16.99855
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418849
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.618871
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834105
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.067801
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.322326
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.595803
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.893655
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224194
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.580262
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9721
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.398482
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.861004
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.37937
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.964217
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62906
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39135
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.274
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30773
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45467
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02796
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96198
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52899
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.91338
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.77334
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.46267
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.33538
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.24448
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.15786
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.411097
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.610575
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.82512
