¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86085
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33081
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546866
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.779786
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025071
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247107
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.487446
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.748387
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.032628
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831271
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222427
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.656511
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14081
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653846
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21834
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85523
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57914
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40915
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3637
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39397
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58474
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95696
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27243
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80757
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.838
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.30479
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.547457
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.757935
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020535
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242208
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482141
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742621
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.026342
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.475351
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.371444
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.34516
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.327288
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.311432
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.297721
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.286307
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.277374
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.271335
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.268858
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.271364
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.282836
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0346
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31615
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82164
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81867
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2828
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.548148
²(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746613
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016171
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237495
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477036
(366.11, 9.70, 330.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737076
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.406877
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.299738
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.255012
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.230767
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.208158
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.187069
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.167484
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.149394
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.132761
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.117606
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.103915
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.091649
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.08084
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.071459
(366.11, 9.70, 330.27) (380.42, 1.71, 345.16) (0.81, 2.16, 0.81) Human 6.063534
