¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.040953
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.032049
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265589
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519244
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795013
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086293
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359712
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656637
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980167
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.862488
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.84018
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.819518
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.800479
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.783048
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.767205
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.752936
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.740224
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.729058
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.719429
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.711322
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.007404
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.200429
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.187135
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.175663
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.166007
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.158153
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.152097
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.147828
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.145349
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036878
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270804
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524925
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799011
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095603
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375957
(378.74, 14.53, 272.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674294
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.75861
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.734964
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.712964
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.692583
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.6738
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.6566
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.640962
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.626871
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.614314
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.603277
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.593752
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.585727
(378.74, 14.53, 272.10) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.048029
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.31018
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.296663
„ (378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.284994
(378.74, 14.53, 272.10) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.275159
