¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73492
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52168
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43871
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51722
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64466
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27551
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20176
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10922
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00062
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.95572
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.23465
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.18519
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.14062
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.08855
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.05367
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.02357
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450792
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792859
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.169472
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.586137
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049434
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567575
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15075
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82489
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62863
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56385
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66559
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83353
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55712
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41773
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36255
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26446
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24753
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.48251
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.4324
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.38723
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.3345
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.29912
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.26857
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486442
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832052
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212789
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.634208
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.10309
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627844
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21888
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91839
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7369
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69074
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82293
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02672
¿(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81049
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61389
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62379
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53772
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58651
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.7404
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.6896
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.64381
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.59037
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.55447
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522296
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871506
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.256372
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682645
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157178
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68856
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29068
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01287
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84658
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81954
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98947
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47804
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99397
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81968
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88025
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83117
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03975
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.95721
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.898
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.85658
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.82014
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.78863
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55827
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911079
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300157
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731294
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211544
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.749731
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37379
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10847
(382.00, 13.93, 307.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95764
