¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.695752
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080372
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50721
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.983501
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518238
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.714998
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.529807
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.466476
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.440252
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.426991
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.51193
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.600305
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.865394
(377.53, 7.15, 353.31) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 13.72494
(377.53, 7.15, 353.31) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 13.90414
(377.53, 7.15, 353.31) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 16.00072
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4752
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010057
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334281
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.68618
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069784
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.49542
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.970302
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.503388
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.602813
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.421463
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.373989
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.347995
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.342677
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.42587
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.512432
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.785806
(377.53, 7.15, 353.31) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 13.87944
(377.53, 7.15, 353.31) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 14.04564
(377.53, 7.15, 353.31) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 16.1061
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28068
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000179
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323402
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.676466
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059035
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483452
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.956915
(377.53, 7.15, 353.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488289
(377.53, 7.15, 353.31) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 9.495518
