¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.16985
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.16158
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.459156
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647457
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850368
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.069624
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307269
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565591
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847342
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155843
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495001
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869491
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.285077
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748815
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269465
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.857991
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52859
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29939
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19455
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24656
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5003
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01962
