¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.001968
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.522488
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372345
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886059
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205338
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550349
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928334
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3716
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85844
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60413
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27868
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38425
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54328
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70874
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89694
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10004
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31136
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71817
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95799
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191214
(333.09, 7.42, 356.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420578
