¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141993
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259124
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381151
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508296
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.640822
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.779073
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.923269
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07379
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48749
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85412
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15855
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48283
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.886
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35698
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644027
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.915535
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218828
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435482
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660741
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9017
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.125542
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350601
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590195
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.737215
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.855785
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.961998
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072628
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18778
(421.34, 14.84, 245.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307721
