¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94729
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.92582
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90694
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.89063
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.87686
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86562
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85691
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85072
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.882286
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.05542
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.241825
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.443596
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.663294
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905511
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166483
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454733
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773836
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12356
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.514675
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.950752
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.442365
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.007085
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.652565
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39736
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26615
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19763
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31133
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94001
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.91603
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.89464
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.87583
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85957
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84586
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.83468
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82601
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81986
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.869334
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.041424
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.226736
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.427251
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.644946
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.885859
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.144974
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430058
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747298
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.094122
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.481658
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.913651
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.400467
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.958423
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.595596
å(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33005
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18577
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09411
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22832
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.91134
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.88743
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86611
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84736
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.83117
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81751
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.80637
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79775
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79163
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.856554
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.027607
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.211847
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.411127
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627393
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866479
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123773
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405975
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.72116
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.06514
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.449167
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.877203
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.359282
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.910625
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.539693
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26407
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10707
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99287
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14794
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.88531
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86147
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84021
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82152
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.80538
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79177
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78068
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77209
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.766
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.843936
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.013969
