¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21816
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90007
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7371
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.22288
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.34358
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.1447
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311342
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530964
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76779
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416412
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71103
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031611
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.34314
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66122
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.006325
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.388567
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.835028
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29093
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76542
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28804
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89888
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58613
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35807
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26803
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.59918
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.796
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.30549
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.4742
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.35544
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.300424
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.519217
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755114
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.131404
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.702185
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.022024
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33182
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648987
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993052
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386581
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832882
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28649
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76051
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28265
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91385
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60133
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37524
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75945
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67015
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.8569
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.39538
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.61067
¾(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.56959
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289682
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507658
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742647
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.996762
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360368
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012595
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.32101
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637264
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980347
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.3851
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.831236
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28277
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75643
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29124
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92877
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6176
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01906
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.65807
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7431
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9198
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.48759
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.75197
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.78721
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279116
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496292
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.730388
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983179
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.266119
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.574494
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310612
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.62602
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978436
(327.48, 6.94, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384089
