¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.643208
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.611798
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.582457
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.555149
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.529849
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.506532
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.485173
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.465752
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.448247
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.432643
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.418924
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.407075
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.397085
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.388947
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.382648
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230635
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478721
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748745
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043699
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368081
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731764
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.134902
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.584179
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.087817
(441.96, 14.43, 265.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.656277
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.11962
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.07998
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.04261
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.00745
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.97448
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.943655
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.914949
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.88833
(441.96, 14.43, 265.68) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.86377
