¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.679373
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.011312
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.406507
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00811
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67712
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49404
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33532
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23363
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02949
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85464
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66592
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71713
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.98922
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.41907
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602661
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800732
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010494
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233129
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47506
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.769918
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067802
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34811
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645866
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964873
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.331418
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.68207
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.014225
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.398626
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974308
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67719
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46769
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34243
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01342
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90539
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91399
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56157
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76981
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.80686
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413443
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.596597
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794201
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.004316
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226455
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.466973
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.760373
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.065784
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.345922
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.644247
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96311
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.325845
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.685614
‘(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.018055
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.391619
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.941283
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6783
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44229
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3508
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92933
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78297
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97602
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43718
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82579
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.68411
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.407968
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.590693
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.787842
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.998353
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220016
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.459999
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750992
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.064157
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344156
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.643124
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961887
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.3208
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.690009
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.022804
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.385482
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.90903
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65806
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4178
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36043
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84614
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66223
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0407
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32961
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88519
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.48674
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94122
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402648
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.584949
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781658
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992606
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213811
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.453278
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741778
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.062919
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.342813
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.642498
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961205
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316282
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.695256
™(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.028475
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.390154
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.877534
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62156
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39424
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35852
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76389
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54318
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08848
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32475
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61383
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21762
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82675
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.397483
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.579366
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.775645
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987076
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207839
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.446811
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732729
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053384
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341893
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.642366
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961063
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.312292
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.701356
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.035068
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397303
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.846795
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58596
(337.73, 7.55, 333.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37159
