¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28648
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67106
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32701
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08023
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12403
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.05681
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.03116
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.01025
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 23.99404
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 23.98253
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 23.9757
(338.57, 7.04, 385.63) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 23.97355
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055171
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.355592
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684291
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045411
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449349
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908644
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422698
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00176
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63867
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35396
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17776
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17363
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30015
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67266
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31123
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07156
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.13131
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.99748
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.97188
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.95099
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.9348
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.9233
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.91646
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.91429
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055653
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356109
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684862
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046043
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449636
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908978
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.423047
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00215
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63976
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35521
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17837
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18462
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31353
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67369
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31183
Ÿ(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06321
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.05034
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.94309
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.91752
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.89666
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.88049
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.86898
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.86214
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.85996
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056045
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356538
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685341
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.04654
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449768
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909081
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.4232
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00231
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64066
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35623
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17861
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18491
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32662
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67407
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31428
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03533
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77783
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.89358
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.86804
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.8472
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.83104
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.81955
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.8127
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.8105
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05634
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356905
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685733
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046985
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449691
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909021
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.423116
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00223
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64142
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35709
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1785
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18476
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33933
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68777
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28438
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8774
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37423
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.84889
¦(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.82339
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.80257
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.78642
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.77493
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.76808
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.76586
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056598
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357167
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686004
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047297
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449457
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90878
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422831
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00191
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64198
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35771
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17924
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18417
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35175
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70741
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13668
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72261
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98249
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.80899
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.78351
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.76272
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.74658
