¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.31115
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.28326
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.25943
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.24258
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.26423
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.33074
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.40912
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.49163
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03181
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254807
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496243
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.758435
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.044112
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.356502
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.706087
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.12602
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199072
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.758554
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60229
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8567
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6827
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33851
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4502
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05769
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4592
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.86512
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.05458
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.03012
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.13597
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.10769
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.08422
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.06358
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.09107
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.15637
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.23318
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.31409
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028452
