¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34954
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.38321
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765502
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047883
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356403
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741913
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.247991
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719364
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224541
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.793862
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4355
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11185
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87271
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57606
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2095
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90195
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78657
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7103
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70742
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29812
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12368
(378.36, 11.37, 323.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.0873
