¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
  (419.93, 14.51, 252.21) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 18.40627
(419.93, 14.51, 252.21) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.97737
(419.93, 14.51, 252.21) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 20.61154
(419.93, 14.51, 252.21) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 21.96265
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.547962
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.523052
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.499287
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.476637
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.45508
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.434589
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.415142
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.396719
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.379299
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.362864
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.347395
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.332878
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.319297
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.306637
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.294887
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.369329
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.739701
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.17978
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.711173
(419.93, 14.51, 252.21) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 18.56531
(419.93, 14.51, 252.21) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 18.43761
(419.93, 14.51, 252.21) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 18.41169
(419.93, 14.51, 252.21) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.68915
(419.93, 14.51, 252.21) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 20.81404
(419.93, 14.51, 252.21) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 22.10034
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.506167
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.481508
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.457982
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.435561
(419.93, 14.51, 252.21) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.414221
