¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.92945
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70961
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.661
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8736
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46369
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6552
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71167
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893358
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133128
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.401623
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697884
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.021075
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378296
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.780818
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.230339
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.717777
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.278725
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927691
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70465
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65262
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86217
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44947
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62947
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66355
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893157
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132908
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.401103
(437.93, 13.89, 291.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697312
