¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08907
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664206
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.863354
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070743
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294612
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536947
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81785
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126322
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.457682
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827258
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.243864
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.703894
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.238741
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.84219
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49855
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24009
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2556
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18805
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46084
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4064
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84769
