°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
∂(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407393
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739778
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105118
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508388
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955687
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.449689
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.987532
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59788
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29007
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99682
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71333
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69262
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89451
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87378
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09229
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.59594
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.57632
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.56054
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.5486
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.54048
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.53618
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.53568
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.53899
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089798
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31278
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554005
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815784
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097959
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401135
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732965
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.097576
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50006
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.947518
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455699
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00022
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61225
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30644
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98251
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65603
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59699
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87341
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84615
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05736
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.97891
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.95885
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.94272
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.9305
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.92217
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.91773
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.91718
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.92051
Û(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086865
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309577
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550562
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812034
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092366
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395076
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7263
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090287
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.494707
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.944679
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455412
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01333
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62704
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32326
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96922
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64118
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50342
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83187
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8194
(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02354
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.16399
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.13559
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.11119
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.09075
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.07427
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.06171
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.05309
(341.88, 7.09, 370.59) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 20.04838
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474708
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751852
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.05522
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.391116
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.763404
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.176862
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.638618
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.822161
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50059
