¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.628729
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.12089
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087122
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31566
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563363
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831543
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113121
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.420421
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757051
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127289
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.45553
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.805008
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186451
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.601848
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.777256
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.725863
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.676884
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.943459
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.906908
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.872219
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.839354
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.808278
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.77896
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.751364
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.725466
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.701235
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.678649
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.657683
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.638317
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.131069
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.08972
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318462
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566404
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83597
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120739
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428733
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766165
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122602
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442864
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791204
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171384
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587879
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.792016
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.740504
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.691411
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.955351
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.918712
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.883939
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.850994
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.81984
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.790446
„ (435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.76278
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.736812
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.712517
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.689869
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.668843
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.649419
