¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074406
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31105
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568216
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848606
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155478
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486388
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840612
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23172
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665633
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174435
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752667
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39931
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12283
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95703
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95858
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17206
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.17621
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.072
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.04998
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.03076
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.17698
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.36912
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.40146
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.32755
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.31161
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.29869
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.28878
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.86056
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.079361
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316453
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574089
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855012
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162497
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492738
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847615
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23943
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674214
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186287
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.766127
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41741
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14362
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98112
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98279
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20103
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.42656
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.19074
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.15898
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.20584
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.19496
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.18116
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.58406
Ö(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.94889
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.86803
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.79092
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.47653
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.865227
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084443
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321939
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580064
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861544
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169637
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499287
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854804
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.247366
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683783
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.198361
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.779821
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43588
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16477
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00565
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0074
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22971
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57718
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.14604
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.1787
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.14957
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.18584
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.29369
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.91102
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.03688
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.09818
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 15.01864
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.48419
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869839
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089574
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327497
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586098
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868149
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.176909
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505998
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862176
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.255551
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694695
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21063
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.793708
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4547
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18636
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03067
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03248
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25394
(422.97, 15.01, 246.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60628
(422.97, 15.01, 246.45) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 14.0952
