¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86949
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62283
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45793
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29193
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10238
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15411
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57234
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02151
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78112
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.47117
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681122
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.901984
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.141957
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.403577
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.689835
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.004315
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351322
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.197778
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606849
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065895
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578604
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15488
(370.88, 8.88, 335.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8072
