¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
…(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25929
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.58768
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15557
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.01612
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.19654
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927052
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.15715
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.403358
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672893
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967537
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.283503
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636639
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.027405
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.449333
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.921978
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.440848
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03334
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70801
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47943
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35433
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16597
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04962
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.02949
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.14199
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44826
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.328362
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.345834
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.365012
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.385919
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.408572
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.432998
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.45922
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 8.487266
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.910301
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138529
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.383118
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.650817
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943367
(433.02, 10.47, 361.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.256311
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.671039
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.549909
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.435745
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.32799
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.231939
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.213896
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.196819
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.180694
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.165502
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.151225
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.137849
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.125364
 (433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.113751
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.103
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.093102
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.084047
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.075823
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.068426
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.066771
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.066763
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.067546
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.035665
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.432722
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.270103
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.138969
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.050822
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.020824
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.995665
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.976013
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.959235
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.943406
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.929909
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.920711
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.912317
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.904718
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.897907
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.891877
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.886622
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.882137
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.879187
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.878693
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.878956
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.879975
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.881751
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.884287
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.887584
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.891647
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.897213
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.906615
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.916827
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.40892
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.178092
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.024963
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.98827
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.967285
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.947943
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.929551
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.912089
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.895825
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.882494
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.873178
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.864658
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.857141
 (433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.851551
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.846725
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.842661
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.839353
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.836798
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.835863
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.835739
(433.02, 10.47, 361.88) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 3.836362
