¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940614
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467554
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06222
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71128
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4574
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27624
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97902
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.41868
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.39181
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.36765
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.34616
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.32735
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.31118
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.29763
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304259
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658768
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050274
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471755
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941695
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468763
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06399
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71542
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46637
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31512
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32619
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.50383
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.47685
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.45258
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.43102
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.41214
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.39592
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.38234
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303406
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65787
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050127
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472409
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942451
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.469592
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06493
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71922
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47475
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35485
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61772
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.59271
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.56561
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.54124
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.5196
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.50065
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.48438
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.47077
(432.52, 14.46, 328.66) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 15.66881
Í(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302333
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656652
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048772
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472795
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942858
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470068
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06542
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72264
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48253
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39541
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60823
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.68543
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.6582
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.63374
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.612
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.59299
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.57667
(432.52, 14.46, 328.66) (447.36, 7.73, 306.93) (1.70, 1.40, 1.13) Tools 13.56303
(432.52, 14.46, 328.66) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 15.64343
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301002
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655177
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047117
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472878
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94293
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470177
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06555
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72568
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48975
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41197
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59759
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92211
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93101
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76523
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12367
(432.52, 14.46, 328.66) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 15.62117
(432.52, 14.46, 328.66) (449.38, 7.72, 304.57) (3.20, 1.85, 2.97) Tools 15.83744
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299385
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653432
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045175
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472677
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942706
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.469919
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06525
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72838
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49634
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41973
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58586
(432.52, 14.46, 328.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94131
