¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.301159
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.960557
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72283
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6139
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57632
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.96964
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.37126
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.33891
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.52083
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.92834
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 14.95462
(379.93, 7.34, 351.05) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 20.12904
(379.93, 7.34, 351.05) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.22786
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.626126
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.856006
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.101771
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.370364
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.665052
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989753
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34922
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.749257
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.197039
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.701546
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.274153
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.929505
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68676
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.57149
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52212
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87073
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.92985
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 16.39722
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 16.59366
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.35641
(379.93, 7.34, 351.05) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 14.46852
(379.93, 7.34, 351.05) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 20.0114
(379.93, 7.34, 351.05) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.00616
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.617206
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.845658
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.090483
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358006
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651467
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.974752
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.332574
(379.93, 7.34, 351.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.730682
