¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.353857
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.329164
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.306231
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.285033
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.265551
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.247765
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.231657
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.217211
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.204411
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.193246
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.183705
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.175778
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.169457
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.164738
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.161613
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.160081
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.111643
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443723
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701743
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982738
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289799
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629065
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011652
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436388
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.44534
