¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19774
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68612
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19158
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74965
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33785
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92293
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71654
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79385
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.93069
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.95565
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890413
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171341
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464227
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76534
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08478
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433402
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815205
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.235149
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699022
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17617
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64514
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14652
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69984
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31194
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89443
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75259
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79655
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59546
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09811
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877818
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157774
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453784
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746439
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064259
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410954
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790604
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208016
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.668999
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15222
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60506
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10244
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65117
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25948
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88084
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78962
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8395
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28944
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.41716
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865218
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144073
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.436961
²(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727789
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.04395
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388769
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766279
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181225
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639408
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11646
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56593
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05946
(405.38, 14.94, 308.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60373
